Bus Number,Starting Point,Ending Point,Via,High Frequency Route,Night Service Route,Low Frequency Route
56D,Broadway,Manali,"Beach R.S, Thambuchetty St., Kalmandappam, Kasimedu, Tondirapet, Tollgate, Rajakadai, Thiruvotriyur R.S, Mattumandai",x,,
56N,Broadway,Ennore,,x,,
56P,Broadway,MinjurNew Bus Stand,"V. NAGAR, TONDAIAYRPET, THIRUVETRIYUR B.S, SATHIYAMOORTHY NAGAR, NAPALAYAM, MINJUR B.D.O",x,,
56T,Tiruvottiyur,Madhavaram,MFL,,,
56W,V Nagar,Madhavaram,"Tondiarpet, Thiruvottriyur, MFL",x,,
57,V Nagar,Red Hills,"Basin Bridge, Vyasarpadi, Moolakadai, Puzhal",x,x,
570,CMBT,Kelambakkam,"Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi, Sholinganallur, Navalur, Padur",,,
570A,Ambattur Estate,Kelambakkam,"CMBT, Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi, Sholinganallur, Navalur, Padur",,,x
570S,CMBT,SiruseriSIPCOT,"Vadapalani, Ashok Nagar, Guindy, Check post, Velachery, SRP tools, Perungudi, Sholinganallur, Navalur",,,
571,Thiruvallur,Broadway,"Central R.S, Taylors Road, Nadhamuni, Padi, Ambattur IE, Avadi, Thirunindravur, Vepampattu, Sevapet, Kakallur",,,
572,Thiruvallur,Ambattur I.E,"Ambattur OT, Avadi, Pattabiram, Thirunindravur, Veppampattu, Sevapet, Kakallur",,,
572A,Thiruvallur,Avadi,"Pattabiram, Thirunindravur, Veppampattu, Sevapet, Kakallur",,,x
572K,Kilanur,Ambattur I.E,"Avadi, Pattabiram, Thirunindravur, Veppampattu, Sevapet",,,x
576,T. Nagar,Kanchipuram,"Saidepet, Guindy, Porur, Poonamallee, Irrungattukottai, Sriperumbudur, Sunguvarchathiram, Pillai chatiram, Kamakshi Temple",,,
577,Mandaveli,Chengalpattu,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Adyar, AMS",,,
578,Sriperumbudur,Kundrathur,"Mangadu, Kumananchavadi, Poonamallee, Chembarambakkam, Irrungattukottai",,,
578A,Sriperumbudur,Vadapalani,"Virugambakkam, Valasarawakkam, Porur, Kovoor, Kundrathur, Somangalam, Nallur, Sumtheramedu Koot road, Pillaipakkam, Pattunool Chatiram",,,
578P,Poonamallee,Elampakkam,"Chembarambakkam, Irunkattukottai, Pennalur EB, Sriperumbudur, Mambakkam, Vadamangalam, Thirumangalam, S.V.Chatiram, Maduramangalam Koot road, Pudhupattu",,,
579,Padappai,Broadway,"Karasangal, Mudichur, Tambaram, Pallavaram, Guindy, Saidapet, LIC",,,
579A,Tambaram,Wallajabad,"Mudichur, Karasangal, Padappai, Oragadam Koot Road",x,,
579V,Padappai,Velachery,"Mudichur, Tambaram, Chrompet, Eachangadu, Kilkattalai, Madipakkam, Ram Nagar",,,x
57F,High Court,Karanodai,"Beach R.S, Stanley, Mint, Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red hills",x,x,
580,Avadi,Arani,"Pattabiram, Thiruninravur, Pakkam, Tamaraipakkam, Vadamadurai, Periyapalayam Koot road",x,,
580M,Avadi,Malanthur,"Pattabiram, Thiruninravur, Pakkam, Tamaraipakkam, Vengal, Vengal Koot road",,,x
580P,Poonamallee,Periyapalayam,"Thirumazhisai, Vellavedu, Pudhuchatiram, Periyakottambedu, Kosavapalayam, Thiruninravur, Pakkam, Tamaraipakkam, Vadamadurai",,,
582,T. Nagar,Vallakkottai,"Saidapet, Guindy, Porur, Poonamallee, Sriperumbudur, Bhondur, Pattunul Chatiram",,,
583,Sriperumbudur,Tambaram,"Mudichur, Padappai, Serapanacherri, Oragadam, Vallakottai, Pondur",x,,
583A,Sriperumbudur,Thiruvallur,"Manavalan Nagar, MELNALLATHUR, KIZH NALLATHUR, POLIVAKKAM, KATTU KOOT ROAD",x,,
583B,Tambaram,Perambakkam,"Old Perungalathur, Manimangalam, Sriperumbudur, Kattu Koot road, Meppedu, Koovam",,,x
583C,Tambaram,Sriperumbudur,"Mudichur, Mannivakkam, Karasangal, Manimangalam",,,
583D,Tambaram,Sriperumbudur,"Old Perungalathur, Manimangalam, Mullai Nagar",,,x
583E,Pallavaram,Vallakkottai,"Tambaram, Mudichur, Padappai, Serapanancherri, Oragadam, Maathur",,,
583P,Pondhur,Tambaram,"Serapanancherri, Padappai, Mannivakkam, Mudichur",,,x
587,Broadway,Thirupporur,"Marina,Thiruvamiyur,ECR,Kelambakkam",,,
588,Mamallapuram,Adyar,"Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",,,
588B,Mamallapuram,Broadway,"Marina Beach, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",,,
588C,Mamallapuram,CMBT,"Vadapalani, Ashok Nagar, Guindy, Adyar, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",,,
589,Mamallapuram,Velachery,"Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",,,x
58A,Broadway,Red Hills,"V.Nagar, Vyasarpadi, Moolakadai, Mathur",,,x
58G,Broadway,Gnayaru,"V.Nagar, Vyasarpadi, Moolakadai",,,x
58H,Broadway,New Erumai Vettipalayam,"Karanodai, RedHills, V.Nagar, Vyasarpadi, Moolakadai",,,
59,V Nagar,Thiruverkadu,"Basinbridge, Elephantgate, Doveton, Purasawakam, KMC, Aminjikarai, Arumbakkam, Maduravoyal, Velappanchavadi",x,,
591,Perambakkam,T.Nagar,"Guindy, Porur, Poonamallee, Thandalam, Mannur, Kattukoot rd, Mappedu, Koovam",,,x
591A,Perambakkam,CMBT,"Maduravoyal, Poonamallee, Thandalam, Mannur, Kattukoot rd, Mappedu",,,
591B,Perambakkam,Vadapalani,"Virugambakkam, Porur, Poonamallee, Thandalam, Mannur, Kattukoot rd, Mappedu",,,x
591C,Poonamallee,Narasinprm M Koil,"Chembarambakkam, Chetipedu, Thandalam, Mannur, Kattukoot rd, Mappedu, Perambakkam",,,x
592,V Nagar,Periyapalayam,"Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai,Janappan Chathram x road, Bandikavanoor,Kannigaipair",,,
592A,Red Hills,Uthukkottai,"Karanodai, Thatchur Koot road,Kannigaipair, Periyapalayam",,,
592G,V Nagar,Periyapalayam,"Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai,Pandy Kavanoor Rd JN, Kannigaipair",,,
592V,V Nagar,Vengal,"Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai, Poorivakkam",,,x
593,Broadway,Thandalam,"Beach R.S,Stanley, Mint,Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai, Periyapalayam",,,
595,Pazhaverkadu,Tollgate,"Thiruvottriyur, Sathyamoorthy nagar, Minjur, Kadapakkam, Thathanmanji, Perliyambakkam, Pulicut",,,x
595A,Pazhaverkadu,Thiruvottiyur,"Sathyamoorthy nagar, Minjur, Kadapakkam, Thathanmanji, Perliyambakkam, Pulicut",,,x
596,CMBT,Thiruvallur,"Koyambedu, Nerkundram, Madhuravoyal, Kumanan chavadi, Poonamallee, Thirumazhisai, Vellavedu, Nemam, Pudhuchatiram, Mettukandigai, Arnavoyal kuppam, Arnavoyal, Murkancherry, Manavalan Nagar",,,
596A,CMBT,Thiruvallur - Pandur,"Koyambedu, Nerkundram, Madhuravoyal, Kumanan chavadi, Poonamallee, Thirumazhisai, Vellavedu, Nemam, Pudhuchatiram, Mettukandigai, Arnavoyal kuppam, Arnavoyal, Murkancherry, Manavalan Nagar, Thiruvallur",,,
596P,CMBT,Thiruvallur,"Koyambedu, Nerkundram, Madhuravoyal, Kumanan chavadi, Poonamallee, Chembarabakkam, TSR Rajalakshmi nagar, Mannur, Puduvallur Jn., Sunnabukulam, Aranvoyal, Manavalan Nagar",,,x
597,Thiruvallur,T. Nagar/Mandaveli,"Guindy, Ramapuram, Porur, Iyypanthangal, Kumanan chavadi, Poonamallee, Thirumazhisai, Vellavedu, Nemam, Pudhuchatiram, Mettukandigai, Arnavoyal kuppam, Arnavoyal, Murkancherry, Manavalan Nagar",x,,
599,T. Nagar,Mamallapuram,"Saidapet, Adyar, Thiruvanmiyur, Injambakkam, Kovalam, Thiruvedanthai, Vadanemili",,,
5A,T. Nagar,Tambaram East,"Saidapet, Velachery, Medavakkam, Camp Road",x,x,
5B,T. Nagar,Mylapore,"Saidapet, Anna University, Adyar, Sathyastudio, Mandaveli",x,,
5C,Broadway,Taramani,"Madhya Kailash, Kotturpuram, Alwarpet, Royapettah, Chennai Central",,,
5E,Vadapalani,Besant Nagar,"Vadapalani temple, Nesapakkam, MGR nagar, KK Nagar, Ashok pillar, Jafferkhanpet, Mettupalayam, Srinivasa theater, CIT nagar, Saidapet, Anna university, Adyar, Adyar Depot, Vannanthurai, Velankkani church",x,x,
5G,T. Nagar,Kannagi Nagar,"Saidapet, Velachery, Taramani, RMZ, Perugudi",,,
5K,Mylapore,Taramani,,,,
5R,Saidapet,Velachery,"Guindy, N.G.O. Colony, St.Thomas Mount, Vanuvampet, Velachery MRTS",,,
5S,Thiruvanmiyur,T.Nagar,"Adyar, Kotturpuram",,,
5T,Vadapalani,Taramani,"Saidapet, T.Nagar, Ashok pillar, K.K.Nagar",,,
60,Anakaputhur,Broadway,"Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S",,,
60A,Kundrathur Murugan Temple,High Court,"Kundrathur, Andankuppam, Anakaputhur, Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S",,,
60C,Anakaputhur,Broadway,"Pammal, Pallavaram, Guindy, Little Mount, Saidapet, Teynampet, DMS, TVS, Simpson, Central R.S",,,x
60D,Broadway,"Kamarajpuram, Anakaputhur","Pallavaram, Guindy",,,x
60E,Broadway,Kundrathur,"Andankuppam, Anakaputtur, Pallavaram, Guindy, Anna University, Adyar, Sathyastudio, MRC Nagar, Pattinapakkam, AIR, Kannagi Statue, Annasquare",,,
60G,Broadway,Pozhichalur,"Pallavaram, Guindy, Anna University, Adyar, Sathyastudio, MRC Nagar, Pattinapakkam, AIR, Kannagi Statue, Annasquare",,,
60H,Broadway,"Shankar Nagar, Pammal","Pammal, Pallavaram, Guindy",,,x
61A,Ambattur I.E,Melapedu,"Dunlop, Amabttur OT, Thirumullaivoyil, Avadi, HVF Hospital",,,
61B,CMBT,Arakkambakkam,"Thirumangalam, Collector Nagar, Ambattur IE, Avadi, HVF Hospital, Kovilpadagai, Vellanur, Veerapuram",,,
61C,Avadi,Muthapudupet,"HVF Hospital, HVF Main Gate",x,x,
61D,Broadway,Kadavoor,"Central R.S, Purasaiwakkam, Ayanavaram, Nadhamuni, Padi, Amabattur IE, Avadi, HVF Hospital, Kovilpadagai, Veerapuram",,,
61D xt,Broadway,Kilkondaiyar,"Avadi, Kadavoor",x,,
61E,Broadway,Kilkondaiyar,"Ambattur IE, Avadi, HVF Hospital, Kovilpadagai, Vellanur, Veerapuram, Arakkambakkam",,,x
61K,Avadi,Kaniyamman Nagar,"HVF Hospital, Kovilpadagai, Veerapuram",,,
61R,Avadi,Red Hills,"HVF Hospital, Kovilpadagai, Vellanur, Veerapuram, Kadavoor",,,
62,Poonamallee,Red Hills,"Karayan chavadi, Seeneerkuppam, Goverdhangiri, Avadi Market, Avadi, Thirumullaivoyal, Ambathur OT, Pudur, Kallikuppam, Puzhal, Bypass road, Kavangarai, Ayurveda Ashramam",x,,
62,Avadi,Red Hills,"Thirumullaivoyal, Ambathur OT, Pudur, Kallikuppam, Surapedu, Puzhal, Bypass road, Kavangarai, Ayurveda Ashramam",,x,
62A,Red Hills,Ambattur I.E,Pudur,,,
62C,Red Hills,SRMC(Porur),"Iyyapanthangal, Kattupakkam, Kumanan chavadi, Saveetha Engineering College, Ayapakkam, Ambathur OT, Pudur, Kallikuppam, Puzhal, Bypass road, Kavangarai, Ayurveda Ashramam",,,x
62D,Koyambedu Market,Puzhal,,,,x
62E,Koyambedu Market,Madanakuppam,,,,x
62xt,Poonamallee,Padiyanallur,"Karayan chavadi, Seeneerkuppam, Goverdhangiri, Avadi Market, Avadi, Thirumullaivoyal, Ambathur OT, Pudur, Kallikuppam, Puzhal, Bypass road, Kavangarai, Ayurveda Ashramam, Red Hills",,,
64P,Minjur,Perambur,"Napalayam, Manali new town, MFL, CPCL, Manali, Madhavaram Milk colony, Moolakadai",x,,
65,Avadi,Poonamallee,"Govardhanagiri, Mettupalayam, Kaduveti, Karaiyanchavadi",,,x
65A,Saidapet,Muthapudupet,"Guindy, Porur, Kumananchavadi, Karaiyanchavadi, Avadi, HVF Hospital",,,x
65B,Ambattur I.E,Poonamallee,"Karayan chavadi, Seeneerkuppam, Goverdhangiri, Avadi Market, Avadi, Thirumullaivoyal, Ambathur OT, Canara bank, Dunlop, AMBIT Park",x,,
65C,Ambattur I.E,Pakkam,"Dunlop, Ambattur OT, Thirumulaivoyil, Avadi, Pattabiram, Jaya College, Thirunindravur",,,
65D,Avadi,Melkondaiyur,"Pattabiram, Thirunindravur",,,
65E,Ambattur I.E,Poonamallee,"Ambattur OT, Avadi, Kamaraj Nagar, Karaiyanchavadi",,,
65G,Avadi,Meyyur,"Pattabiram, Thirunindravur",,,
65H,Avadi,Red Hills,"Pattabiram, Thirunindravur",,,x
65K,Avadi,Poonamallee,"Govardhanagiri, Mettupalayam Rd JN, Parivakkam Rd JN, Kaduveti, Karaiyanchavadi",,,x
65P,Ambattur I.E,Pattabiram,"Ambattur OT, Avadi Market, Poonamallee, Thandurai",,,x
65R,Ambattur I.E,Iyyapanthangal,"Ambattur OT, Avadi Market, Karaiyanchavadi, Kumananchavadi",,,
65T,Poonamallee,Korattur,"Pattravakkam, Ambattur OT, Avadi Market, Karaiyanchavadi",,,x
65V,Poonamallee,Villivakkam,"Nadhamuni, Padi, Ambattur I.E, Ambattur OT, Avadi, Karaiyanchavadi",,,
66,Poonamallee,Tambaram,"MEPZ, Chrompet, Pallavaram, Pammal, Anakaputhur, Kundrathur, Mangadu, Karaiyanchavadi",x,,
66A,Hasthinapuram,Kundrathur,"Anakaputhur, Pammal, Pallavaram, Chromepet",,,x
66K,Kilkattalai,Poonamallee,"Inchangadu, Pallavaram, Pammal, Anakaputhur, Kundrathur, Mangadu, Kumananchavadi, Karaiyanchavadi",,,
66P,Pattabiram,Tambaram,"Pallavaram, Kundrathur, Poonamallee,Parivakkam, Chittukadu,Thandarai",,,x
66S,Poonamallee,Sholinganallur,"Pallavaram, Pammal, Anakaputhur, Kundrathur, Mangadu, Karaiyanchavadi",,,x
6A,Tollgate,Besant Nagar,"Adyar, Foreshore Estate, Triplicane, Parry's Corner, Maharani, Washermanpet,",,,
6D,Thiruvanmiyur,Tollgate,"Besant Nagar, Foreshore Estate, Parry's Corner",x,,
6E,Thiruvanmiyur,Tollgate,"Adyar, Foreshore Estate, Parry's Corner, Kasimedu",,,x
6F,AIR Nagar,Fore shore Estate,"Thiruvottriyur, Therady, Royapuram Parry's Corner, Anna square, QMC, Santhome",,,
70,Avadi,Tambaram,"Ambattur, Padi, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Chennai Airport, Pallavaram, Chromepet",x,x,
70A,Avadi,Vandalur Zoo,Tambaram,x,,
70B,Avadi,Chromepet Lakshmi,"Ambattur OT, Collector Nagar, CMBT, Vadapalani, Udhayam, Pallavaram",,,
70C,Koyambedu Market,Tambaram,"Vadapalani, Udhayam, Pallavaram, Tambaram",,,
70C xt,Koyambedu Market,Mambakkam,"CMBT, Vadapalani, Ashok nagar, Guindy, Pallavaram, Chrompet, Tambaram, Tambaram East, Camp road, Rajakilpakkam, Kozhipannai, Madambakkam, Jothi nagar, Sithalapakkam Housing board, Kovilancherry, Madurapakkam, Ponmar, Mambakkam Kulam",,,
70D,Ambattur I.E,MadipakkamB.S.,"Collector Nagar, CMBT, Vadapalani, Ashok Nagar, Guindy, Velachery, Ram nagar",,,
70E,CMBT,Veppampattu,"Collector Nagar, Ambattur OT, Avadi, Pattabiram, Thirunindravur",,,
70G,Ayanavaram,Tambaram,"Anna Nagar East, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Chennai Airport, Pallavaram, Chromepet",,,
70K,Kilkattalai,CMBT,"Velachery, Guindy, Ashok Pillar, Vadapalani",,,x
70L,Ambattur Karukku,CMBT,,,,
70P,Veppampattu,T. Nagar,"Thirunindravur, Avadi, Ambattur OT, Collector Nagar, CMBT, Liberty",,,x
70S,CMBT,Kannagi Nagar,"Velachery, SRP Tools",,,
70T,Villivakkam,Tambaram,"Nadhamuni, Thirumangalam, CMBT, Vadapalani, Guindy, Pallavaram",,,
70V,Koyambedu,Guduvanchery,"Vadapalani, Pallavaram, Tambaram",,,
70W,Mugappair West,Velachery,"Wavin, Collector Nagar, CMBT, Vadapalani, Ashok Pillar, Guindy",,,x
71,Broadway,Ambattur OT,"Central R.S, Taylors Road, New Avadi road, Nadhamuni, Padi, Ambattur IE",,,
71D,Broadway,Pudur,"Central R.S, Nadhamuni, Padi, Ambattur IE, Ambattur OT",,,
71E,Broadway / Ambattur I.E (NS),Thirunindravur,"Central R.S, New Avadi road, Nadhamuni, Ambattur I.E, Ambattur OT, Avadi",x,x,
71F,Broadway,Senthil Nagar,"Central R.S, Nadhamuni, Ambattur IE, Ambattur OT",,,
71H,Broadway,Avadi Kamaraj Nagar,"Central R.S, New Avadi road, Nadhamuni, Ambattur IE, Ambattur OT, Avadi",,,
71V,Broadway,Veppampattu,"Central R.S, Nadhamuni, Ambattur I.E, Ambattur OT, Avadi, Thirunindravur",,,
79K,Oragadam,Keelkattalai,"Padappai, Mudichur, West Tambaram, East Tambaram, Camp Road, Kamarajapuram, Medavakkam Koot Road, Kovilambakkam",,,x
7B,Broadway,Korattur,"Central R.S, Periamet, Vepery, Doveton, Pattalam, Otteri, Ayanavaram, Joint Office, ICF, Kalpana(Villivakkam), Nathamuni",x,,
7E,Broadway,Ambattur I.E,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam, Wavin",,,
7F,Broadway,Anna Nagar West,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam",x,,
7G,Broadway,Kaviarasu Kannadasan Nagar,"Moolakadai, Perambur market, Pattalam, Doveton, Periamedu, Central R.S",,,
7H,Broadway,Mogappair East,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam,",x,,
,,,,,,
,,,Collector nagar,,,
7H xt,Broadway,Ambattur I.E,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam, Wavin",,,
7K,T.Nagar,Taramani,"Saidapet, Anna university, CPT, WPT,Tidel park",,,
7M,Broadway,Mogappair West,"Central R.S, Vepery, Purasaiwakkam, Kellys, Kilpauk Gardens, Chinthamani, Thirumangalam, Vavin",x,,
7S,Thiruvanmiyur,Saidapet West,"SRP Tools, Velachery, Saidapet, CIT Nagar",,,
80,Padappai,Tambaram,Manimangalam,,,x
88A,High Court,Nandambakkam,"Sirukalathur, Kundrathur,Koovoor,Periyapannicherry,Baikadai,Porur, Valasarawakkam, Virugambakkam, Vadapalani, Liberty, Gemini, LIC, Central R.S",,,
88C,Kundrathur,High Court,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy, Saidapet, DMS, TVS, Central R.S",,,
88D,Kundrathur,Saidapet West,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy, Saidapet, Srinivasa Theater",,,
88E,Kundrathur,Ekkadttuthangal,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy",,,x
88K,Kundrathur,High Court,"Koovoor, Periyapannicherry, Baikadai, Porur, Guindy, Saidapet, DMS, TVS, Central R.S",x,,
88L,T.Nagar,Periyar Colony,"Gunidy, Porur, Kundrathur",,,
88M,High Court,Somangalam,"Gunidy, Porur, Kundrathur",,,
88R,High Court,Amarambedu,"Gunidy, Porur, Kundrathur, Somangalam",,,
8A,Tollgate,Periyar Nagar,"Tondiarpet, V.Nagar, Regal, Choolai P.O, Otteri,Jamalaya, Venus",,,x
8B,High Court,T.V.K Nagar,"Parrys, V.Nagar, Puliantope, Pattalam, Jamalaya, Venus",,,
9M,T.Nagar,A.G.S Office Colony,"Saidapet, Guindy, NGO Colony, Brindavan nagar, Kakkan Bridge",,,
A1,Thiruvanmiyur,Central R.S,"Adyar, Mylapore, Royapettah",x,,
A1 xt,Okkiam Thorapakkam,Central R.S,"SRP Tools, Thiruvanmiyur, Adyar, Mylapore, Royapettah",,,
A1 xt,Broadway,Kovalam,"Central, LIC, Royapettah, Luz, Mylapore, Mandaveli, AMS, Adyar, Thiruvanmiyur, Kottivakkam, Palavakkam, Neelangarai, Injambakkam, Uthandi, Kanathur, Muttukadu boat yard",,,
A11,Broadway,T.Nagar,Teynampet,,,
A147,Thiruvanmiyur,Avadi,"Adyar, T.Nagar, Pushpa Nagar, Ambattur I.E, Collector Nagar",,,
A18,Vandalur Zoo,High Court,"LIC, TVS, Saidapet, Guindy, Pallavaram, Chromepet, Tambaram",x,x,
A19,Shozhinganallur,Madhya Kailash,"Thoraippakkam, SRP, Tidel Park",,,
A21,Thiruvanmiyur,Vandalur Zoo,"SRP Tools,Thorapakkam,Redial Road,Kamatchi Hospital, Eechangadu,Pallavaram, Chromepet, Tambaram, Perugalathur",x,,
A47,Thiruvanmiyur,Avadi,"Adyar, T.Nagar, Pushpa Nagar, Ambattur I.E",,,
A5,T. Nagar,Balaji Nagar,"Saidapet, Velachery, Medavakkam, Kamarajapuram",x,x,
A51,Tambaram East,High Court,"Camp Road, Kamarajapuram, Medavakkam, Pallikkaranai, Velachery, Guindy Race Course, DMS, LIC, Central R.S",x,,
A51 cut,Tambaram East,Saidapet,"Camp Road, Kamarajapuram, Medavakkam, Pallikkaranai, Velachery, Guindy Race Course",,,
A57,High Court,Padiyanallur,"Beach R.S, Stanley, Mint, Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red hills",,,
A70,Avadi,Pallavaram,"Ambattur, Padi, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Kathipara, Chennai Airport",,,
B18,Vandalur Zoo,Korukkupet,"Broadway, LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram",x,,
B19,Shozhinganallur,Kelambakkam,"Navallur, Siruseri",,,
B21xt,Korukkupet,Medavakkam Koot Road,"V.Nagar, Parrys, Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Velacherry, Madipakkam Koot road, Kilkatalai, Kovilambakkam, Vellakal",,,
B29N,Velachery,Periyar nagar,"Saidapet, T. Nagar, DMS, Gemini, Sterling Road/College Road, KMC, Doveton, Perambur, Venus",,,
B51,Tambaram East,T. Nagar,"Camp Road, Santhosapuram, Medavakkam Koot Road, Kilkattalai, Madipakkam koot Road,Mount, Kathipara, Guindy",,,
B51 cut,Tambaram East,Saidapet,"Camp Road, Santhosapuram, Medavakkam Koot Road, Kilkattalai, Madipakkam koot Road,Mount, Kathipara, GuindyEstate",,,
B70,Guindy Estate,Pattabiram,"Avadi, Ambattur OT, Padi, CMBT, Vadapalani, Udhayam, CIPET",x,,
C18,Kilkattalai,T.Nagar,"Madipakkam Koot Road, Nanganallur, Guindy, Ekkaduthangal,Ashok pillar, West Mambalam",,,x
C2,Anna Square,Anna Square,"Ezhilagam, Triplicane, Chepauk, Wallaja Road, Pallavan Road, Central, Regal, Vallalar Nagar, Royapuram bridge, Beach Road, Parrys, Secretariat",,,
C2,Anna Square,Anna Square,"Secretariat, Parrys, Beach Road, Stanley Hospital, Vallalar Nagar, Regal, Central, Pallavan Road, Wallajah road, Chepauk, Triplicane, Ezhilagam",,,
C21,Broadway,Ottiyambakkam,"Secretrariat, Anna Square, AIR, Santhome, Foreshore Estate, MRC Nagar, Adyar, SRP Tools, Perungudi, Sholinganallur, Perumbakkam, Nukkanpalayam, Arasan Kazhani",,,
C27,T. Nagar,CMBT,"Panagal park, Ashok pillar, K.K.Nagar BS, MGR nagar, Nesapakkam, West K.K.nagar, Avichi School, Virugambakkam, Chinmaya nagar, Koyambedu Market",,,x
C51,Tambaram West,Adyar,"Camp Road, Kamarajapuram, Medavakkam, Sholinganallur, ECR, Injambakkam, Thiruvanmyur",x,,
C51 cut,Tambaram West,Injambakkam,"Camp Road, Kamarajapuram, Medavakkam, Sholinganallur, ECR",,,
C70,Guindy Estate,Red Hills,"Ashok nagar, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Padi, Thathankuppam, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam",x,,
C70xt,Guindy Estate,Padiyanallur,"Ashok nagar, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Padi, Thathankuppam, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam, Red Hills",,,
D41,Ambattur O.T.,Thiruvanmiyur,"Korattur, Lucas,Thirumangalam, Amijikarai, KMC, Chetpet,Sterling road, Gemini,Teynampet,Nandanam, Adyar Gate, Mandaveli, AMS, Adyar, Adyar Depot",,,
D51,High Court,Medavakkam koot road,"Medavakkam, Pallikkaranai, Velachery, Guindy Race Course, DMS, LIC, Central R.S",,,
D51 xt,High Court,SithalapakkamTNHB Colony,"Sithalapakkam Koot road, Medavakkam, Pallikkaranai, Velachery, Guindy Race Course, DMS, LIC, Central R.S",,,
D70,Ambattur I.E,Velachery,"Collector Nagar, CMBT, Vadapalani, Ashok nagar, Guindy, Checkpost, Velachery Bypass road",x,x,
D70 xt,Pattabiram,Velachery,"Avadi, Ambattur O.T, Ambattur I.E",,,
D70 xt,Ambattur I.E,Medavakkam,"Collector Nagar, Vadapalani, Ashok nagar, Guindy, Checkpost, Velacherry, Pallikaranai",,,x
E18,Guduvanchery,High Court,"LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram, Vandalur Zoo",x,,
E18 xt,Maraimalai nagar,High Court,"LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram, Vandalur Zoo, Guduvanchery",,,x
E51,High Court,Ottiambakkam,"Arasan kazhani, Sithalapakkam, Sithalapakkam Koot road, Medavakkam, Pallikkaranai, Velachery, Guindy Race Course, DMS, LIC, Central R.S",,,
F54,Poonamallee,Mandaveli,"Kumananchavadi, Iyyapanthangal, Porur, Guindy, Kotturpuram, Adyar Gate",,,
F70,Pattabiram,Guindy TVK Estate,"Avadi, Ambattur I.E, Lucas, Anna Nagar West, Koyambedu market, CMBT, Vadapalani, West Saidapet",,,
G118,T.Nagar,Kavanoor Koot Road,"Guindy, Pallavaram, Tambaram, Vandaloor Zoo, Guduvanchery",,,
G17,Broadway,Mogalivakkam,"Kedar Hospital,Porur, Valsarawakkam, Alwarthirunagar, Virugambakkam, Vadapalani, Gemini, Thousand lights, Central",,,
G18,Guduvanchery,T.Nagar,"Saidapet, Guindy, Pallavaram, Chromepet, Tambaram, Vandalur Zoo",x,x,
G18 xt,Maraimalai nagar,T.Nagar,"Saidapet, Guindy, Pallavaram, Chromepet, Tambaram, Vandalur Zoo, Guduvanchery",,,x
G21,Broadway,Chrompet,"Secretariat, Kannaki Statue, QMC, Kalyani Hospital, Sanskrit College, Luz, Mylapore, Mandaveli BS, Adyar Gate, Kotturpuram, Anna university, Guindy, Pallavaram",,,
G54,T.Nagar,Vellavedu,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet",,,
