Bus Number,Starting Point,Ending Point,Via,High Frequency Route,Night Service Route,Low Frequency Route
159K,CMBT,Kargil Nagar,"Thiruvottriyur, Therady, Tollgate, Tondiarpet, V.Nagar, Regal, Choolai P.O., Purasawakkam High Road, Kellys, Aminjikarai, Arumbakkam",,,x
15A,Broadway,Anna Nagar West,Kilpauk,,,
15B,Broadway,CMBT,"Amijikarai, KMC, Dasaprakash, Central R.S",x,x,
15D,Broadway,Anna Nagar West,"Dasaprakash, Anna Hospital, 14 Shops",,,
15F,Broadway,Vadapalani,"Virugambakkam, Chinmaya nagar, Koyambedu Market, CMBT, Amijikarai, KMC, Dasaprakash, Central R.S",x,x,
15F cut,Broadway,Koyambedu Market,"CMBT, Amijikarai, KMC, Dasaprakash, Central R.S",,,
15G,Broadway,MMDA Colony,"Central, Egmore, Dasaprakash, KMC, Taylor's Road, Aminjikarai, Razakgarden, Watertank",x,,
15L,Broadway,Athipet ICF colony,,,,
162,Madhavaram,Poonamallee,"Koyambedu Junction, Mathuravoyal, Kumananchavadi, Karaiyanchavadi",,,x
162A,Mathur MMDA,Avadi,Puzhal,,,x
164,Mathur MMDA,Perambur,"Madhavaram Milk colony, Thapal petti, Moolakadai",,,
164C,Broadway,Manali,,,,
166,Tambaram,Iyyappanthangal,"Porur, Kundrathur, Anagaputtur, Pammal, Pallavaram, Chromepet",,,
17,Broadway,Vadapalani,"Central,Chindatripet,Egmore RS, Chetpet,Sterling road, Loyola college, Kodambakkam",,,
170,Tambaram,Thiruverkadu,"CMBT, Vadapalani, Guindy, Pallavaram, Chromepet",x,,
170A,Madhavaram,Vandalur Zoo,"Thapal petti, Moolakadai, Retteri, Thirumangalam, CMBT, Vadapalani, Guindy, Pallavaram, Tambaram",,,
170B,TVK Nagar,Tambaram,"Kolathur, Retteri, Thirumangalam, CMBT, Vadapalani, Ashok Pillar, Guindy, Pallavaram",,,
170C,Guindy Estate,TVK Nagar,"Kolathur, Retteri, Thirumangalam, CMBT, Vadapalani, Ashok Pillar",x,,
170C xt,Guindy Estate,Manali,"Madhavaram Milk colony, Thapal petti, Moolakadai, TVK Nagar, Retteri, Thirumangalam, CMBT, Vadapalani",x,,
170D,Kannadasan Nagar,Guindy Estate,"Moolakadai, Retteri, Thirumangalam, CMBT, Vadapalani,Ashok Pillar, Ekkattuthangal",,,x
170E,Tambaram,I.O.C,"Korukkupettai, Kannadasan Nagar, Moolakadai, Retteri, Thirumangalam, CMBT, Vadapalani, Guindy, Pallavaram",,,x
170G,Tambaram,Periyar Nagar,,,,
170J,CMBT,West Saidapet,"Guindy, Udhayam, Vadapalani,MMDA Colony",,,
170K,Ambattur O.T,Guduvanchery,"V.Z00, Tambaram, Pallavaram, Guindy, Udhayam, Vadapalani, CMBT, Anna Nagar, Padi, Ambattur I.E",,,
170L,Kallikuppam,Vandalur Zoo,"Tambaram, Pallavaram, Guindy, Vadapalani, CMBT, Anna Nagar, Padi, Ambattur I.E, Ambattur OT, Pudur",,,
170M,Velachery,Manali,"Madhavaram Milk colony, Thapal petti, Moolakadai, TVK Nagar, Retteri, Thirumangalam, CMBT, Vadapalani, Ashok pillar, Guindy, Checkpost",x,,
170N,Kilkattalai,Perambur,"Nanganallur, Guindy, Udhayam, Vadapalani, CMBT, Thirumangalam, Retteri, Venus",,,
170P,Pattabiram,Tambaram,"Avadi, Ambattur OT, Golden Flats, Thirumangalam, CMBT, Vadapalani, Pallavaram, Chrompet",,,x
170R,CMBT,Andarkuppam,"Thirumangalam, Madhavaram, Kosappur",,,
170T,Vandalur Zoo,Kaviarasu Kannadasan Nagar,"MR Nagar, Moolakadai, Retteri, Thirumangalam, CMBT, Vadapalani, Guindy, Pallavaram, Tambaram",,,
17A,Broadway,CMBT,"Koyambedu Market, Virugambakkam, Vadapalani, Gemini",,,
17B,Broadway,Mangadu,"Paranipathur, Baikadai, Moulivakkam, Porur, Virugambakkam, Vadapalani, Gemini, Thousand lights, Central",,,
17C,Broadway,Iyyapanthangal,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani, Virugambakkam, Valasarawakkam, Porur, SRMC",x,,
17D,Broadway,K K Nagar,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Udhayam, Nesapakkam",x,,
17E,Broadway,Saligramam,"Central, Chindatripet, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani",,,
17G,Broadway,Mogalivakkam,"Kedar Hospital, Ramapuram, Angalamman Koil, Alwarthirunagar, Virugambakkam, Vadapalani, Gemini, Thousand lights, Central",,,
17J,CMBT,Iyyapanthangal,"Virugambakkam, Vadapalani",,,
17K,Broadway,Dasarathapuram,"Central, Egmore, DPI, Sterling Road, Valluvarkottam, Liberty, Vadapalani",,,
17M,Broadway,Iyyapanthangal,"Porur, Virugambakkam, Vadapalani, Kodambakkam Power house, Liberty, Periyar Road, Valluvar kottam, Gemini, Thousand lights, TVS, LIC, Simpson, Central",x,x,
17P,Vadapalani,Pattur,"Mangadu, Porur, Virugambakkam",,,
18,Broadway,Guindy,"Central R.S, Zimson, Shanthi Theater, LIC, TVS, Thousand Lights, DMS, Vanavil, SIET, Defence Accounts office, Nandanam, Saidapet",x,,
188C,Kundrathur,High Court,"Koovoor, Periyapannicherry, Kolapakkam, Manapakkam, Nandambakkam,Butt road, Kathipara, Guindy I.E, Little Mount, Saidapet, DMS, LIC,Central Railway Station",,,x
188K,Katrambakkam,T.Nagar,"Kundrathur, Koovoor, Periyapannicherry,Baikadai, Moulivakkam, Porur, Manapakkam, Nandambakkam,Butt road, Kathipara, Guindy I.E, Little Mount, Saidapet",,,x
18A,Broadway,Perugalathur,"LIC, TVS, Saidapet, Guindy, Pallavaram, Chrompet, Tambaram Sanatorium, Tambaram",x,,
18D,Broadway,Kilkattalai,"LIC, TVS, Saidapet, Guindy, St. Thomas Mount",,,
18E,Broadway,Ramapuram,"LIC, TVS, Saidapet, Guindy, Nandambakkam",,,x
18F,Broadway,Guindy,"Central R.S, Simpson, LIC, TVS, DMS, Nandanam, CIT Nagar, Srinivasa, Mettupalayam, Saidapet West",,,
18H,Tambaram,Naduveerapattu,"Kannadapalayam, Pazhanthandalam Koot road, Ettayapuram, Somangalam Koot road",,,
18K,Broadway,Saidapet West,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, CIT Nagar, Srinivasa, Mettupalayam",x,,
18L,Tambaram,Madambakkam,"Perugalathur, Vandaloor Zoo, Guduvanchery, Madambakkam koot road",x,,
18P,High Court,Velachery,"Central R.S, Simpson, LIC, TVS, DMS, Teynampet, Nandanam, Saidapet, Guindy RS, Checkpost",x,,
18S,Tambaram,Somangalam,"Kannadapalayam, Pazhanthandalam Koot road, Ettayapuram, Somangalam Koot road, Poonthandalam",x,,
19B,Saidapet,Kelambakkam,"IIT Chennai, Madhya Kailash, Tidel Park, Thoraipakkam, SIRUSERI",x,,
19B xt,Saidapet,Thirupporur,"IIT Chennai, Madhya Kailash, Tidel Park, Thoraipakkam, SIRUSERI,Kelambakkam",,,
19C,T. Nagar,Okkiam Thorapakkam,"Saidapet, Madhya Kailash, Tidel park, SRP Tools, Perugudi",,,
19D,Adyar,Chemmenchery,"Thiruvanmiyur, SRP, Perungudi",,,
